TextUrn,ImageUrn,FolioUrn
urn:cts:greekLit:tlg0012.tlg001:13.325@αὐτοσταδίῃ,"urn:cite2:hmt:vaimg.2017a:VA170RN_0341@0.2012,0.5470,0.1164,0.02407",urn:cite2:hmt:msA.2017a:170r
urn:cts:greekLit:tlg0012.tlg001:13.340@ταμεσίχροας,"urn:cite2:hmt:vaimg.2017a:VA170VN_0672@0.6824,0.3739,0.1168,0.02573",urn:cite2:hmt:msA.2017a:170v
urn:cts:greekLit:tlg0012.tlg001:13.343@θρασυκάρδιος,"urn:cite2:hmt:vaimg.2017a:VA170VN_0672@0.7756,0.4313,0.1192,0.02573",urn:cite2:hmt:msA.2017a:170v
urn:cts:greekLit:tlg0012.tlg001:13.415@ἄτιτος,"urn:cite2:hmt:vaimg.2017a:VA172RN_0343@0.2968,0.3422,0.06724,0.02434",urn:cite2:hmt:msA.2017a:172r
urn:cts:greekLit:tlg0012.tlg001:13.429@Ἱ̈πποδάμειαν,"urn:cite2:hmt:vaimg.2017a:VA172RN_0343@0.4849,0.6147,0.1120,0.02586",urn:cite2:hmt:msA.2017a:172r
urn:cts:greekLit:tlg0012.tlg001:13.437@Ἱ̈ὑψιπέτηλον,"urn:cite2:hmt:vaimg.2017a:VA172VN_0674@0.7579,0.3028,0.1074,0.02351",urn:cite2:hmt:msA.2017a:172v
urn:cts:greekLit:tlg0012.tlg001:13.450@ἐπίοὐρον,"urn:cite2:hmt:vaimg.2017a:VA172VN_0674@0.8189,0.5458,0.08143,0.02268",urn:cite2:hmt:msA.2017a:172v
urn:cts:greekLit:tlg0012.tlg001:13.477@βοηθόον,"urn:cite2:hmt:vaimg.2017a:VA173RN_0344@0.3535,0.5823,0.08714,0.02310",urn:cite2:hmt:msA.2017a:173r
urn:cts:greekLit:tlg0012.tlg001:13.509@δολιχόσκιον,"urn:cite2:hmt:vaimg.2017a:VA174RN_0345@0.4377,0.2409,0.1562,0.02434",urn:cite2:hmt:msA.2017a:174r
urn:cts:greekLit:tlg0012.tlg001:13.534@αὐτοκασίγνητος,"urn:cite2:hmt:vaimg.2017a:VA174VN_0676@0.5015,0.2593,0.1496,0.01923",urn:cite2:hmt:msA.2017a:174v

