Text#Image#Folio
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.164r1#urn:cite2:hmt:vaimg.2017a:VA164RN_0335@0.829,0.3802,0.06,0.0195#urn:cite2:hmt:msA.2017a:164r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.164r2#urn:cite2:hmt:vaimg.2017a:VA164RN_0335@0.836,0.5507,0.06,0.0195#urn:cite2:hmt:msA.2017a:164r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.164v1#urn:cite2:hmt:vaimg.2017a:VA164VN_0666@0.129,0.2457,0.08,0.0308#urn:cite2:hmt:msA.2017a:164v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.164v2#urn:cite2:hmt:vaimg.2017a:VA164VN_0666@0.13,0.3757,0.063,0.0376#urn:cite2:hmt:msA.2017a:164v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.164v3#urn:cite2:hmt:vaimg.2017a:VA164VN_0666@0.121,0.5372,0.063,0.0376#urn:cite2:hmt:msA.2017a:164v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.164v4#urn:cite2:hmt:vaimg.2017a:VA164VN_0666@0.117,0.6559,0.067,0.0563#urn:cite2:hmt:msA.2017a:164v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.165r1#urn:cite2:hmt:vaimg.2017a:VA165RN_0336@0.824,0.4805,0.054,0.021#urn:cite2:hmt:msA.2017a:165r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.165v1#urn:cite2:hmt:vaimg.2017a:VA165VN_0667@0.157,0.2539,0.068,0.0195#urn:cite2:hmt:msA.2017a:165v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.166r1#urn:cite2:hmt:vaimg.2017a:VA166RN_0337@0.85,0.256,0.05,0.02#urn:cite2:hmt:msA.2017a:166r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.166v1#urn:cite2:hmt:vaimg.2017a:VA166VN_0668@0.118,0.6336,0.07,0.0255#urn:cite2:hmt:msA.2017a:166v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.168r1#urn:cite2:hmt:vaimg.2017a:VA168RN_0339@0.812,0.3341,0.052,0.0233#urn:cite2:hmt:msA.2017a:168r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.168r2#urn:cite2:hmt:vaimg.2017a:VA168RN_0339@0.814,0.6547,0.085,0.036#urn:cite2:hmt:msA.2017a:168r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.168v1#urn:cite2:hmt:vaimg.2017a:VA168VN_0670@0.145,0.238,0.058,0.024#urn:cite2:hmt:msA.2017a:168v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.168v2#urn:cite2:hmt:vaimg.2017a:VA168VN_0670@0.154,0.3746,0.065,0.0188#urn:cite2:hmt:msA.2017a:168v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.168v3#urn:cite2:hmt:vaimg.2017a:VA168VN_0670@0.166,0.4084,0.042,0.0173#urn:cite2:hmt:msA.2017a:168v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.1#urn:cite2:hmt:vaimg.2017a:VA170VN_0672@0.1527,0.4784,0.06577,0.03057#urn:cite2:hmt:msA.2017a:170v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.2#urn:cite2:hmt:vaimg.2017a:VA170VN_0672@0.1536,0.5672,0.05914,0.03762#urn:cite2:hmt:msA.2017a:170v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.A1#urn:cite2:hmt:vaimg.2017a:VA175RN_0346@0.817,0.3276,0.052,0.0203#urn:cite2:hmt:msA.2017a:175r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.A2#urn:cite2:hmt:vaimg.2017a:VA175RN_0346@0.822,0.4711,0.035,0.0301#urn:cite2:hmt:msA.2017a:175r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.A3#urn:cite2:hmt:vaimg.2017a:VA175RN_0346@0.82,0.722,0.051,0.0233#urn:cite2:hmt:msA.2017a:175r
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.A4#urn:cite2:hmt:vaimg.2017a:VA176VN_0678@0.145,0.5192,0.083,0.0301#urn:cite2:hmt:msA.2017a:176v
urn:cts:greekLit:tlg5026.msAext.hmt2017a:13.A5#urn:cite2:hmt:vaimg.2017a:VA177RN_0348@0.815,0.3171,0.052,0.0338#urn:cite2:hmt:msA.2017a:177r
